File ID	SMILES	HOMO (eV)	LUMO (eV)	Trans (eV)	Osc	...
38	38 c1cc2c(s1)c1c(ccs1)c1c2c(c(CC)c(CC)c1)c1cc2c(s1)c1c(ccs1)c1c2c(c(CC)c(CC)c1)c1cc2c(s1)c1c(ccs1)c1c2c(c(CC)c(CC)c1)c1cc2c(s1)c1c(ccs1)c1c2c(c(CC)c(CC)c1)	-6.947611	-0.534159	3.104800	0.439000	3.125200	0.647700	3.181100	0.600800	3.301600	0.259300	3.436500	0.005600	3.469400	0.005400	3.507900	0.000900	3.512100	0.000100	3.985300	0.036100	4.032200	0.002400	4.068300	0.001200	4.074300	0.019100	4.116200	0.004900	4.173000	0.059800	4.263700	0.000600
39	39 c1cc(CN)ccc1CNc1cc(CN)ccc1CNc1cc(CN)ccc1CNc1cc(CN)ccc1CN	-7.847763	0.547221	4.159800	0.034500	4.245500	0.037800	4.339500	0.028200	4.449200	0.017700	4.568800	0.147300	4.715500	0.113000	4.879600	0.044200	5.037500	0.112400	5.428400	1.159200	5.476200	0.071000	5.548300	0.494800	5.565500	0.076700	5.618800	0.197800	5.668000	1.137900	5.755900	0.320600
40	40 C1=CC=C(C1=O)C1=CC=C(C1=O)C1=CC=C(C1=O)C1=CC=C(C1=O)	-7.427075	-2.136910	1.843600	0.418100	2.303600	0.000000	2.490600	0.000000	2.530800	0.000000	2.567500	0.000000	2.581700	0.000000	2.629400	0.048800	2.643800	0.000000	3.341800	0.000000	3.865400	0.051700	4.279400	0.000000	4.392100	0.207700	4.536100	0.354000	4.668900	0.000000	4.755200	0.000000
41	41 c1sc(c2c1sc(C(=O)CC)c2F)c1sc(c2c1sc(C(=O)CC)c2F)c1sc(c2c1sc(C(=O)CC)c2F)c1sc(c2c1sc(C(=O)CC)c2F)	-7.297821	-1.835408	2.390500	1.005000	2.940700	0.161500	2.991900	0.001100	2.993500	0.005400	3.012400	0.001500	3.016800	0.001900	3.229000	0.854800	3.516100	0.003800	3.660700	0.177100	3.807500	0.125500	3.956000	0.028900	4.010300	0.019200	4.111800	0.249200	4.227100	0.111700	4.269500	0.298100
42	42 c1scc(OC)c1Nc1scc(OC)c1Nc1scc(OC)c1Nc1scc(OC)c1N	-7.098906	0.310482	3.683400	0.294400	3.924300	0.175900	3.988000	0.248100	4.228400	0.036700	4.321000	0.179700	4.430000	0.003500	4.512400	0.030200	4.588100	0.027200	4.713700	0.011400	4.738400	0.031900	4.760400	0.020800	4.831100	0.004900	4.881600	0.011900	4.968700	0.030100	5.025400	0.043200
43	43 C1=[S]c2cscc2[S]=C1C1=[S]c2cscc2[S]=C1C1=[S]c2cscc2[S]=C1C1=[S]c2cscc2[S]=C1	-7.858104	0.191840	4.214200	0.420900	4.459800	0.007900	4.492600	0.076500	4.502100	0.000400	4.525300	0.455400	4.526700	0.077200	4.548900	0.004100	4.694800	0.206500	4.755200	0.029500	4.773600	0.349800	4.776400	0.032100	4.799000	0.118400	4.837000	0.075100	4.998400	0.008200	5.067000	0.013300
45	45 c1sc(c2c1C(=O)c1ccccc1C2=O)c1sc(c2c1C(=O)c1ccccc1C2=O)c1sc(c2c1C(=O)c1ccccc1C2=O)c1sc(c2c1C(=O)c1ccccc1C2=O)	-7.167479	-1.829149	1.109400	0.000200	1.116700	0.005200	1.400800	0.000600	1.445600	0.003300	1.520000	0.000200	1.528800	0.001100	2.209400	0.504300	2.350700	0.003900	2.438600	0.002500	2.505300	0.003400	2.570200	0.002800	2.659200	0.834500	2.764000	0.015000	2.798500	0.000900	2.798800	0.000000
46	46 C1=C(C=C/C/1=C\1/C=CC(=C1)N)NC1=C(C=C/C/1=C\1/C=CC(=C1)N)NC1=C(C=C/C/1=C\1/C=CC(=C1)N)NC1=C(C=C/C/1=C\1/C=CC(=C1)N)N	-6.889106	-1.193763	2.274600	0.018700	2.318800	0.031100	2.373400	0.227100	2.451700	0.124400	2.562000	0.155300	2.571300	0.065500	2.695400	0.092200	2.781800	0.028400	3.046700	0.001900	3.093800	0.000400	3.098900	0.004100	3.309500	0.034100	3.364200	0.048700	3.415400	0.034500	3.422200	0.156500
47	47 c1sc(S[CH2])c(c1)c1sc(S[CH2])c(c1)c1sc(S[CH2])c(c1)c1sc(S[CH2])c(c1)	-5.008527	-2.299090	1.052600	0.071000	1.147400	0.151600	1.369800	0.123200	1.410100	0.010000	1.426900	0.065600	1.913800	1.513700	1.920800	0.758700	2.165100	0.643000	2.426700	0.527200	2.518500	0.071700	2.595400	0.016700	2.683200	0.109700	2.772400	0.017300	2.852800	0.089000	2.957000	0.028100
48	48 c1sc2cc(C(=O)O)sc2c1c1sc2cc(C(=O)O)sc2c1c1sc2cc(C(=O)O)sc2c1c1sc2cc(C(=O)O)sc2c1	-7.802320	-1.546695	3.022500	0.463300	3.126200	0.301700	3.185900	1.048500	3.434200	0.415600	3.641400	0.000300	3.661400	0.008200	3.713800	0.002000	3.734500	0.022100	3.762300	0.013600	3.870300	0.014000	3.925200	0.031200	3.957700	0.004400	4.115400	0.000900	4.198400	0.006400	4.332700	0.011700
49	49 c1sc(c2c1C[C@H](C(F)(F)F)[C@@H](C(F)(F)F)C2)c1sc(c2c1C[C@H](C(F)(F)F)[C@@H](C(F)(F)F)C2)c1sc(c2c1C[C@H](C(F)(F)F)[C@@H](C(F)(F)F)C2)c1sc(c2c1C[C@H](C(F)(F)F)[C@@H](C(F)(F)F)C2)	-7.946813	-0.170343	3.759200	0.759100	4.076000	0.079000	4.284900	0.111900	4.315400	0.030300	4.430300	0.001000	4.501400	0.013000	4.512500	0.002900	4.545100	0.009700	4.685000	0.019800	4.716800	0.009900	4.897500	0.013500	4.932300	0.004200	5.040300	0.006900	5.091400	0.008500	5.113200	0.001700
50	50 c1sc(C=O)c(c1)c1sc(C=O)c(c1)c1sc(C=O)c(c1)c1sc(C=O)c(c1)	-7.828443	-2.007384	1.470800	0.000100	1.615400	0.003800	2.766800	0.048900	2.828600	0.000500	3.013800	0.000100	3.140300	0.094400	3.161000	0.552500	3.263300	0.257500	3.480300	0.472300	3.600600	0.333400	3.960200	0.623600	3.991900	0.076500	4.036900	0.002800	4.214900	0.065300	4.370400	0.010200
52	52 c1c2c(ncc(CC)n2)c(s1)c1c2c(ncc(CC)n2)c(s1)c1c2c(ncc(CC)n2)c(s1)c1c2c(ncc(CC)n2)c(s1)	-5.782691	-2.031602	1.299300	1.134300	1.976700	0.000500	2.244500	0.131100	2.267400	0.006500	2.436400	0.002900	3.048500	0.176000	3.111400	0.025900	3.124100	0.004600	3.138300	0.006500	3.142400	0.005400	3.183300	0.222600	3.362300	0.000100	3.542200	0.086100	3.614900	0.028000	3.686400	0.108200
53	53 c1oc(nn1)c1oc(nn1)c1oc(nn1)c1oc(nn1)	-8.819210	-2.146706	3.085400	0.935500	3.738600	0.041700	4.219400	0.000500	4.302100	0.034100	4.379600	0.236700	4.414400	0.028200	4.550600	0.003100	4.566400	0.003400	4.680300	0.037000	4.745700	0.006700	4.934300	0.031200	4.943700	0.002500	4.967800	0.013100	4.971100	0.052800	5.250500	0.215000
54	54 c1sc2c(c1)sc1cc(sc21)c1sc2c(c1)sc1cc(sc21)c1sc2c(c1)sc1cc(sc21)c1sc2c(c1)sc1cc(sc21)	-6.428962	-1.192675	2.164000	2.405300	2.573400	0.049800	2.957800	0.285700	3.222300	0.002000	3.512700	0.000000	3.635000	0.076500	3.740600	0.031100	3.870900	0.000500	3.952700	0.001900	4.149800	0.009800	4.223700	0.001900	4.250300	0.000700	4.308800	0.001700	4.313400	0.000400	4.360600	0.000300
55	55 C1=CC2=C(OC=CO2)/C/1=C/1\C2=C(OC=CO2)C=C1C1=CC2=C(OC=CO2)/C/1=C/1\C2=C(OC=CO2)C=C1C1=CC2=C(OC=CO2)/C/1=C/1\C2=C(OC=CO2)C=C1C1=CC2=C(OC=CO2)/C/1=C/1\C2=C(OC=CO2)C=C1	-6.701620	-1.782618	1.525400	0.041800	1.785300	0.045200	1.830100	0.018100	1.875800	0.034400	1.920300	0.018900	2.061400	0.022800	2.180600	0.024200	2.214500	0.025500	2.616900	0.029500	2.670200	0.012900	2.796700	0.087800	2.842000	0.104000	2.921000	0.145800	3.032000	0.198100	3.154100	0.011600
56	56 c1ccc(OCC)c2c1c(OCC)ccc2c1ccc(OCC)c2c1c(OCC)ccc2c1ccc(OCC)c2c1c(OCC)ccc2c1ccc(OCC)c2c1c(OCC)ccc2	-6.837677	0.061498	3.439000	0.812700	3.527100	0.064700	3.573600	0.375800	3.665500	0.211100	3.672100	0.095200	3.722200	0.010500	3.821500	0.364500	3.838700	0.006800	4.209800	0.004000	4.236600	0.001900	4.247900	0.005400	4.315000	0.004200	4.373700	0.002300	4.386100	0.003200	4.633300	0.004400
57	57 c1sc(c2c1cc(S)c(O)c2)c1sc(c2c1cc(S)c(O)c2)c1sc(c2c1cc(S)c(O)c2)c1sc(c2c1cc(S)c(O)c2)	-6.318211	-1.339344	1.980400	0.889100	2.514000	0.375000	2.859900	0.116300	2.933600	0.014900	2.975200	0.004400	3.213000	0.025500	3.284900	0.004000	3.446400	0.023700	3.665300	0.084000	3.680300	0.105400	3.899500	0.001200	3.952100	0.003500	4.007800	0.012400	4.079900	0.004300	4.108300	0.001400
58	58 c1c(CC)sc(c1)c1c(CC)sc(c1)c1c(CC)sc(c1)c1c(CC)sc(c1)	-7.303808	0.117281	3.854300	0.303000	3.928500	0.087100	4.052700	0.771300	4.361900	0.259400	4.582700	0.003000	4.728800	0.006500	4.798400	0.004000	4.893400	0.004200	4.911900	0.152900	5.018600	0.071100	5.112900	0.006400	5.185000	0.015000	5.246500	0.000600	5.283000	0.056400	5.326100	0.010700
